id,block,trial,rt,n_incorrect,mu_c,mu_a,sd_c,sd_a,threshold,c,a,n_learning,vignette,units,interval,valence,manipulation_check_c,manipulation_check_a
04j6oendona6p7j6ptv9aq3568zvowd9,2,18,2449,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.827048337332876,0.748885841618101
04j6oendona6p7j6ptv9aq3568zvowd9,2,19,13202,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.827048337332876,0.748885841618101
04j6oendona6p7j6ptv9aq3568zvowd9,2,20,1648,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.827048337332876,0.748885841618101
04j6oendona6p7j6ptv9aq3568zvowd9,3,21,3113,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.809221803222489,0.818820706205005
04j6oendona6p7j6ptv9aq3568zvowd9,3,22,2473,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.809221803222489,0.818820706205005
04j6oendona6p7j6ptv9aq3568zvowd9,3,23,7727,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.809221803222489,0.818820706205005
04j6oendona6p7j6ptv9aq3568zvowd9,3,24,1880,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.809221803222489,0.818820706205005
04j6oendona6p7j6ptv9aq3568zvowd9,3,25,3011,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.809221803222489,0.818820706205005
04j6oendona6p7j6ptv9aq3568zvowd9,3,26,4830,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.809221803222489,0.818820706205005
04j6oendona6p7j6ptv9aq3568zvowd9,3,27,6159,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.809221803222489,0.818820706205005
04j6oendona6p7j6ptv9aq3568zvowd9,3,28,2638,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.809221803222489,0.818820706205005
04j6oendona6p7j6ptv9aq3568zvowd9,3,29,2329,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.809221803222489,0.818820706205005
04j6oendona6p7j6ptv9aq3568zvowd9,3,30,3621,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.809221803222489,0.818820706205005
04j6oendona6p7j6ptv9aq3568zvowd9,4,31,2256,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.63232773397326,0.794137812821392
04j6oendona6p7j6ptv9aq3568zvowd9,4,32,4494,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.63232773397326,0.794137812821392
04j6oendona6p7j6ptv9aq3568zvowd9,4,33,4834,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.63232773397326,0.794137812821392
04j6oendona6p7j6ptv9aq3568zvowd9,4,34,2952,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.63232773397326,0.794137812821392
04j6oendona6p7j6ptv9aq3568zvowd9,4,35,1595,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.63232773397326,0.794137812821392
04j6oendona6p7j6ptv9aq3568zvowd9,4,36,2716,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.63232773397326,0.794137812821392
04j6oendona6p7j6ptv9aq3568zvowd9,4,37,1957,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.63232773397326,0.794137812821392
04j6oendona6p7j6ptv9aq3568zvowd9,4,38,4069,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.63232773397326,0.794137812821392
04j6oendona6p7j6ptv9aq3568zvowd9,4,39,1835,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.63232773397326,0.794137812821392
04j6oendona6p7j6ptv9aq3568zvowd9,4,40,1687,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.63232773397326,0.794137812821392
05c46k8oqvkva1p4nw43ernv9y2ck4t2,1,1,16912,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.752144082332762,0.618353344768439
05c46k8oqvkva1p4nw43ernv9y2ck4t2,1,2,2032,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.752144082332762,0.618353344768439
05c46k8oqvkva1p4nw43ernv9y2ck4t2,1,3,1637,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.752144082332762,0.618353344768439
05c46k8oqvkva1p4nw43ernv9y2ck4t2,1,4,1520,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.752144082332762,0.618353344768439
05c46k8oqvkva1p4nw43ernv9y2ck4t2,1,5,3571,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.752144082332762,0.618353344768439
05c46k8oqvkva1p4nw43ernv9y2ck4t2,1,6,1531,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.752144082332762,0.618353344768439
05c46k8oqvkva1p4nw43ernv9y2ck4t2,1,7,1068,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.752144082332762,0.618353344768439
05c46k8oqvkva1p4nw43ernv9y2ck4t2,1,8,1536,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.752144082332762,0.618353344768439
05c46k8oqvkva1p4nw43ernv9y2ck4t2,1,9,1155,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.752144082332762,0.618353344768439
05c46k8oqvkva1p4nw43ernv9y2ck4t2,1,10,1486,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.752144082332762,0.618353344768439
05c46k8oqvkva1p4nw43ernv9y2ck4t2,2,11,1589,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.750428816466552,0.596054888507719
05c46k8oqvkva1p4nw43ernv9y2ck4t2,2,12,2189,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.750428816466552,0.596054888507719
05c46k8oqvkva1p4nw43ernv9y2ck4t2,2,13,1010,2,75,75,25,25,167,84,84,10,funding,student,year,positive,0.750428816466552,0.596054888507719
05c46k8oqvkva1p4nw43ernv9y2ck4t2,2,14,3023,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.750428816466552,0.596054888507719
05c46k8oqvkva1p4nw43ernv9y2ck4t2,2,15,2447,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.750428816466552,0.596054888507719
05c46k8oqvkva1p4nw43ernv9y2ck4t2,2,16,2176,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.750428816466552,0.596054888507719
05c46k8oqvkva1p4nw43ernv9y2ck4t2,2,17,4069,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.750428816466552,0.596054888507719
05c46k8oqvkva1p4nw43ernv9y2ck4t2,2,18,1588,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.750428816466552,0.596054888507719
05c46k8oqvkva1p4nw43ernv9y2ck4t2,2,19,1661,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.750428816466552,0.596054888507719
